For class             beaver             on the CIFAR-100 dataset, Top-1 accuracy is 0.970930, Top-5 accuracy is 1.000000
For class            dolphin             on the CIFAR-100 dataset, Top-1 accuracy is 0.969512, Top-5 accuracy is 0.993902
For class             otter              on the CIFAR-100 dataset, Top-1 accuracy is 0.804348, Top-5 accuracy is 1.000000
For class              seal              on the CIFAR-100 dataset, Top-1 accuracy is 0.940000, Top-5 accuracy is 1.000000
For class             whale              on the CIFAR-100 dataset, Top-1 accuracy is 0.835526, Top-5 accuracy is 0.967105
For class         aquarium fish          on the CIFAR-100 dataset, Top-1 accuracy is 0.945783, Top-5 accuracy is 1.000000
For class            flatfish            on the CIFAR-100 dataset, Top-1 accuracy is 0.977612, Top-5 accuracy is 0.992537
For class              ray               on the CIFAR-100 dataset, Top-1 accuracy is 0.933735, Top-5 accuracy is 1.000000
For class             shark              on the CIFAR-100 dataset, Top-1 accuracy is 0.952381, Top-5 accuracy is 1.000000
For class             trout              on the CIFAR-100 dataset, Top-1 accuracy is 0.981250, Top-5 accuracy is 1.000000
For class            orchids             on the CIFAR-100 dataset, Top-1 accuracy is 0.851190, Top-5 accuracy is 1.000000
For class            poppies             on the CIFAR-100 dataset, Top-1 accuracy is 0.743243, Top-5 accuracy is 1.000000
For class             roses              on the CIFAR-100 dataset, Top-1 accuracy is 0.935065, Top-5 accuracy is 0.980519
For class           sunflowers           on the CIFAR-100 dataset, Top-1 accuracy is 0.922619, Top-5 accuracy is 1.000000
For class             tulips             on the CIFAR-100 dataset, Top-1 accuracy is 0.952703, Top-5 accuracy is 1.000000
For class            bottles             on the CIFAR-100 dataset, Top-1 accuracy is 0.922619, Top-5 accuracy is 0.970238
For class             bowls              on the CIFAR-100 dataset, Top-1 accuracy is 0.972603, Top-5 accuracy is 1.000000
For class              cans              on the CIFAR-100 dataset, Top-1 accuracy is 0.961538, Top-5 accuracy is 1.000000
For class              cups              on the CIFAR-100 dataset, Top-1 accuracy is 0.924731, Top-5 accuracy is 0.989247
For class             plates             on the CIFAR-100 dataset, Top-1 accuracy is 0.967532, Top-5 accuracy is 0.993506
For class             apples             on the CIFAR-100 dataset, Top-1 accuracy is 0.982143, Top-5 accuracy is 0.994048
For class           mushrooms            on the CIFAR-100 dataset, Top-1 accuracy is 0.982353, Top-5 accuracy is 0.994118
For class            oranges             on the CIFAR-100 dataset, Top-1 accuracy is 0.956522, Top-5 accuracy is 1.000000
For class             pears              on the CIFAR-100 dataset, Top-1 accuracy is 0.847561, Top-5 accuracy is 0.987805
For class         sweet peppers          on the CIFAR-100 dataset, Top-1 accuracy is 0.942308, Top-5 accuracy is 1.000000
For class             clock              on the CIFAR-100 dataset, Top-1 accuracy is 0.869863, Top-5 accuracy is 0.986301
