For class             beaver             on the CIFAR-100 dataset, Testing accuracy is 0.850000
For class            dolphin             on the CIFAR-100 dataset, Testing accuracy is 0.870000
For class             otter              on the CIFAR-100 dataset, Testing accuracy is 0.540000
For class              seal              on the CIFAR-100 dataset, Testing accuracy is 0.560000
For class             whale              on the CIFAR-100 dataset, Testing accuracy is 0.540000
For class         aquarium fish          on the CIFAR-100 dataset, Testing accuracy is 0.670000
For class            flatfish            on the CIFAR-100 dataset, Testing accuracy is 0.810000
For class              ray               on the CIFAR-100 dataset, Testing accuracy is 0.720000
For class             shark              on the CIFAR-100 dataset, Testing accuracy is 0.860000
For class             trout              on the CIFAR-100 dataset, Testing accuracy is 0.840000
For class            orchids             on the CIFAR-100 dataset, Testing accuracy is 0.530000
For class            poppies             on the CIFAR-100 dataset, Testing accuracy is 0.530000
For class             roses              on the CIFAR-100 dataset, Testing accuracy is 0.830000
For class           sunflowers           on the CIFAR-100 dataset, Testing accuracy is 0.650000
For class             tulips             on the CIFAR-100 dataset, Testing accuracy is 0.640000
For class            bottles             on the CIFAR-100 dataset, Testing accuracy is 0.790000
For class             bowls              on the CIFAR-100 dataset, Testing accuracy is 0.690000
For class              cans              on the CIFAR-100 dataset, Testing accuracy is 0.830000
For class              cups              on the CIFAR-100 dataset, Testing accuracy is 0.650000
For class             plates             on the CIFAR-100 dataset, Testing accuracy is 0.600000
For class             apples             on the CIFAR-100 dataset, Testing accuracy is 0.820000
For class           mushrooms            on the CIFAR-100 dataset, Testing accuracy is 0.810000
For class            oranges             on the CIFAR-100 dataset, Testing accuracy is 0.710000
For class             pears              on the CIFAR-100 dataset, Testing accuracy is 0.750000
For class         sweet peppers          on the CIFAR-100 dataset, Testing accuracy is 0.820000
For class             clock              on the CIFAR-100 dataset, Testing accuracy is 0.540000
For class       computer keyboard        on the CIFAR-100 dataset, Testing accuracy is 0.650000
For class              lamp              on the CIFAR-100 dataset, Testing accuracy is 0.580000
For class           telephone            on the CIFAR-100 dataset, Testing accuracy is 0.800000
For class           television           on the CIFAR-100 dataset, Testing accuracy is 0.700000
